F_Name,L_Name,SSN,Office_Loc,postcode,year_of_birth
Michele,Jones,157407586,New York,90999,1947
Jose,Walters,812611523,Miami,67497,1960
Jessica,Sanchez,870360647,New York,13149,1947
Kelli,Murphy,443342541,Seattle,89857,1963
Ashley,Wagner,639174776,Seattle,59036,1990
Darryl,Burton,247691147,New York,55774,2003
Samuel,Jones,832124594,New York,17423,1982
Amanda,Blake,532518164,Seattle,20524,2001
Joseph,Thompson,496339553,Miami,41516,1985
Julie,Jackson,596344507,New York,87658,1932
Adrian,Stevens,366599419,Charlotte,75878,1970
Ashley,Hamilton,130612326,New York,84403,1936
Sherry,Vaughn,262466375,Miami,32727,1996
Christopher,Shea,737671658,Seattle,48000,1938
Sharon,Adams,116597481,Seattle,83498,1979
Hannah,Singleton,424322627,Los Angeles,14999,1962
Christopher,Hansen,455914522,Los Angeles,86597,1979
Jeremiah,Keller,287983407,Charlotte,30673,1961
Jonathan,Rivera,231354934,Los Angeles,57685,1968
Gregory,Carter,622717972,Los Angeles,76430,2005
Elizabeth,Lyons,426547929,Seattle,47685,1963
James,Fuentes,441258750,Charlotte,71323,1972
Jeremy,Smith,500881568,Seattle,12380,1958
Peter,Dixon,519414919,New York,86378,1955
Darlene,Anderson,284470824,Los Angeles,79071,1964
Rose,Carr,984323261,Los Angeles,69268,1949
Jacqueline,Mann,492445579,Charlotte,43949,1999
Heather,Rivera,318302519,Miami,55839,1936
Cindy,Quinn,721640429,Los Angeles,45565,1993
Keith,Taylor,164035916,Charlotte,12448,1956
Laura,Whitney,818295884,Miami,25265,2005
Kayla,Shaw,208924763,Seattle,69093,1936
Christina,Rivera,379324723,Seattle,60631,1946
Shelby,Young,343822140,Seattle,24846,1984
Kathleen,Camacho,115446932,Seattle,72969,1981
William,Johnson,204046918,Los Angeles,87107,1966
Courtney,Cole,743363807,Miami,31288,1975
Justin,Mitchell,997099373,Miami,81683,1964
Robert,Bernard,662910925,Charlotte,25031,1936
Paul,Bowman,193319763,Charlotte,90995,1944
Michael,Schaefer,204332384,Los Angeles,28185,1933
Richard,Hood,546279485,Charlotte,92738,1934
Christopher,Mcknight,633525929,New York,54019,1952
Michael,Peters,220834822,Miami,57966,1984
Robert,Peterson,156822296,Seattle,51715,1946
Donna,Black,863330536,Los Angeles,24956,1969
Anthony,Contreras,144666440,Charlotte,68013,2002
Erica,Gentry,785222416,Los Angeles,31215,1942
Debbie,Patterson,129332296,Miami,41560,1980
Amanda,Yates,363981930,Seattle,42801,1968
Nina,Meadows,883057878,Miami,90218,1994
Jonathan,Khan,294728254,Charlotte,58023,1944
Carlos,Hernandez,233906927,Miami,74117,1983
Denise,Andrews,214946370,Seattle,53096,1967
Krista,Clark,713179454,New York,65398,1977
Janet,Nash,190709874,Charlotte,69354,1995
John,Rivera,658504087,Charlotte,49838,1943
Justin,Miller,364304807,New York,36436,1971
Elizabeth,Smith,388061482,Seattle,79231,1980
Daniel,Shaffer,793511552,Charlotte,24289,1983
Ryan,Martinez,680789624,Charlotte,71965,1987
Natalie,Terry,769883048,Miami,20793,1952
Sean,Reed,829212696,Seattle,63025,1930
Cassandra,Murray,407839559,Seattle,89652,1947
Trevor,Morgan,767740213,Los Angeles,29127,1983
Jason,Herrera,783878906,Seattle,40315,1972
Michael,Carter,662140088,New York,55933,1981
Connor,Long,463252154,Miami,96525,1961
Catherine,Hernandez,886926972,Miami,85621,1957
Elizabeth,Guerrero,779262323,Charlotte,78054,1931
Kevin,Larson,488722973,Seattle,22547,1957
Mark,Cooper,850996275,Charlotte,28083,1960
Emily,Lewis,427952514,Charlotte,79140,1998
Tracy,Roach,505660333,Miami,68183,1960
Jill,Simmons,898907923,Los Angeles,28339,1997
Linda,Thomas,497516778,Seattle,65117,1979
Christopher,Jenkins,816297118,Los Angeles,73114,1974
Alexander,Robles,592630374,Miami,23643,1930
Jonathan,Atkins,505323825,Charlotte,60696,1961
Michael,Frank,845829346,Los Angeles,43967,1937
Jennifer,Thompson,374749295,Miami,44409,1970
Mary,Smith,363673054,Charlotte,78183,2000
Kristina,Brooks,505303289,Miami,76759,1942
Jamie,Hughes,796981800,Charlotte,56683,1932
Tyler,Griffin,540542099,Charlotte,62194,1970
Victor,Mann,742583086,Miami,67002,1947
Toni,Harris,103321822,Charlotte,92865,1990
Tracy,Herring,319293108,Seattle,65319,1958
Steven,Potter,296610056,Miami,69973,1968
Chad,Davidson,293338184,Seattle,96653,1984
Allison,Brown,188551245,Los Angeles,55475,1954
James,Perry,145577839,Seattle,28958,1943
Robert,Norman,597169848,Seattle,78489,1992
Morgan,Martin,843417535,Seattle,71319,1960
Jay,Walker,838947563,Miami,28778,1983
James,Nguyen,247095212,Seattle,76678,1979
Shirley,Atkins,127367418,Charlotte,29643,1961
Matthew,Chang,224752682,Los Angeles,28349,1946
Melvin,Daniel,674014281,Miami,25381,1958
Charles,Rice,838349424,Los Angeles,34064,1967
John,Robles,678614463,Los Angeles,79926,1978
Richard,Wilson,826225149,New York,17551,1993
Leah,Hansen,411149223,Charlotte,87813,1992
Dylan,Scott,671972139,Los Angeles,72485,1981
Christopher,Cruz,611942952,Seattle,13511,1965
Christopher,Howard,452858969,New York,63165,1995
Stephanie,Gibson,573678199,New York,20454,1952
Gregory,Smith,428348304,New York,43121,1986
Edward,Johnson,339161064,Seattle,35380,1933
Joel,Thomas,284030056,Charlotte,12302,1935
Russell,Lewis,420820047,Charlotte,72215,1960
Gary,Hernandez,257762779,Charlotte,42682,1955
Gina,Berry,547038696,Los Angeles,85899,1984
Jimmy,Diaz,129886037,Charlotte,88564,1987
Dylan,Green,889534494,New York,51237,1979
Cindy,Osborne,311091863,Miami,78029,1952
Christopher,Jones,888605068,Charlotte,18139,1977
Dennis,Parker,549084720,New York,70772,1981
Benjamin,Wilson,295432870,Charlotte,23207,1997
Lisa,Grimes,353949400,Los Angeles,75088,1966
Christina,Howell,713266976,Los Angeles,59136,1947
Tara,Hines,442146134,Seattle,90137,1965
Sarah,Warren,767881804,Charlotte,88800,1998
Christine,Oliver,484642264,Charlotte,50935,1978
Marcus,George,890774370,Seattle,32634,1940
Eddie,Edwards,475666269,Los Angeles,51097,1937
Meghan,Thompson,408879024,Charlotte,72665,1973
Nicole,Diaz,462499126,New York,33296,2000
Lisa,Jackson,745706931,New York,93991,1959
Ralph,Rios,535384693,Charlotte,64047,1978
Alicia,Johnson,328389935,Seattle,83837,1933
Marie,Harrington,544715439,Miami,22687,1984
Patricia,Holmes,535348544,New York,43417,1960
Breanna,Nunez,276827769,Miami,23169,1963
Thomas,Hall,969683898,New York,57731,1936
Austin,Thomas,249870666,Miami,46889,1957
Shawn,Ray,638261827,Los Angeles,61851,1974
Bradley,Murphy,481360781,Charlotte,32921,1944
Christina,Stokes,551602987,Los Angeles,74988,1939
William,Williams,162926909,Charlotte,30098,1983
Taylor,Brown,619071162,Los Angeles,91058,1943
Virginia,Hicks,344841807,Seattle,45783,1934
Angela,Shannon,570568960,New York,77736,1935
Sydney,Bender,615793756,Los Angeles,34638,1984
Sonya,Robles,570173096,Charlotte,35750,1978
Jeffrey,Espinoza,532056567,New York,47904,1972
Heather,Anderson,323411978,Miami,94625,1950
Kevin,Reynolds,252467358,Miami,82069,1963
Donald,Moses,410046978,New York,37284,1934
Andrew,Hayes,512518574,Seattle,91865,2001
Daniel,Hill,176661589,New York,73217,1935
Katrina,Sanchez,438660493,Seattle,64471,1936
Danielle,Mendoza,896362226,Charlotte,68726,1967
Erica,Turner,895772424,Los Angeles,80730,1942
Karen,Callahan,783285160,New York,29300,1945
Dalton,Ellison,317980919,Los Angeles,17320,1945
Michelle,Thomas,494986422,Los Angeles,68743,1968
Jennifer,Heath,256944341,Los Angeles,82333,1962
James,Martin,360653688,Miami,76858,1937
Lisa,Lewis,860448880,Los Angeles,76900,1934
Jasmine,Paul,343028135,Miami,23099,1971
Jessica,Dickerson,648235306,Seattle,72473,1968
Tyler,Dean,921959111,Seattle,51627,1983
Jonathon,Howard,227891534,Los Angeles,61081,1952
Stephanie,Medina,551366714,Seattle,44655,1935
Linda,Black,522879282,Charlotte,16911,1955
Jill,Jefferson,377442728,Los Angeles,10334,1974
William,Mack,316683204,Miami,88092,1985
Sharon,White,138757534,New York,97828,1985
Melissa,Macdonald,167234296,New York,15006,1988
Chad,Levy,145137075,Charlotte,14984,1943
Jerry,Smith,881213681,Seattle,59490,1952
Shannon,Bush,315817737,Seattle,47068,1979
Haley,Knight,306572803,Miami,44323,1985
Michael,Bernard,149465239,Miami,73280,1986
Jessica,Rowland,101035272,Seattle,85084,1940
Megan,Ferguson,777701153,New York,45395,1935
Angela,Williams,840477653,Miami,10323,1991
Tamara,Howell,909379451,Charlotte,27172,1973
Christopher,Montoya,649834921,Miami,98780,1961
Shannon,Solis,853455135,Seattle,92803,1936
Michelle,Guzman,903873484,Seattle,84755,1977
Teresa,Johnson,897666526,Charlotte,29752,1979
Jonathon,Mcbride,738025793,Charlotte,25118,1961
Ann,Villegas,355630561,Charlotte,97914,1969
Eric,Calderon,690809031,Miami,69636,1988
Kimberly,Velazquez,822032283,Charlotte,21248,2004
Brandon,Franklin,578746826,New York,24202,1971
David,Peters,732733774,New York,96575,1996
Crystal,Bowman,491945187,Seattle,26527,1961
Aaron,Clements,632418625,Seattle,25347,1976
Nathaniel,Powell,303702394,Los Angeles,91594,1997
Seth,Johnson,810117383,Los Angeles,81844,2003
Thomas,Rodriguez,378919245,New York,51978,1994
Nathan,Walker,595641616,Seattle,27794,1967
Joseph,Stuart,533703340,Charlotte,40254,1937
Anthony,Calderon,159758950,Los Angeles,86841,1941
Susan,Chang,482377738,Seattle,30585,1979
Jane,Hanson,524835541,Seattle,84914,1978
Alicia,Stanley,864576803,New York,15530,1974
Samantha,Sullivan,189489545,Seattle,45401,1932
Leslie,Bell,813481973,Miami,94091,1956
Jacob,Dyer,713870551,Charlotte,58790,1951
James,Kelly,148769433,Miami,65473,1973
Michael,Hunt,424834020,Seattle,43257,1951
Elizabeth,Yang,831498304,Miami,43555,1954
Lance,Kane,243923102,Seattle,12524,1948
Edward,Washington,440745988,Miami,62324,1936
Jaclyn,Smith,359700381,Miami,93259,2005
Carlos,Wright,457150025,Seattle,73268,1933
Mary,Harrison,598370912,Los Angeles,44869,2004
Frederick,Price,378529397,Charlotte,90457,1958
Martin,Burns,268918271,Los Angeles,61830,1982
Mark,Miranda,331114651,Los Angeles,99741,1996
George,Oneill,150641798,Charlotte,58503,1935
Stephanie,Floyd,265494403,Los Angeles,49901,1972
Anne,Armstrong,897924169,Charlotte,90628,1972
Jerry,Hall,609940392,New York,59500,2000
Louis,Ramirez,423767941,New York,70805,1936
Samantha,Arnold,561940252,Charlotte,27751,1947
Jennifer,Jackson,137359911,Seattle,61948,1964
Mary,Hall,668225092,New York,24534,1930
Elizabeth,Jordan,366346929,Los Angeles,21393,1931
Travis,Owens,218830759,Charlotte,73315,1954
Ebony,Thomas,188104877,New York,30706,1999
Scott,Carter,268973786,Los Angeles,95564,1975
Christina,Boyer,502660302,New York,75218,1979
Olivia,Miller,505087765,Seattle,52202,1970
Maria,Collins,203845708,Los Angeles,60560,1934
Willie,Keller,141496886,New York,62537,1986
Norman,Owens,845657936,New York,42300,1990
Kevin,Deleon,108985850,Charlotte,36631,1979
Belinda,Ruiz,157990952,Miami,97192,1983
Joshua,Brown,130546608,New York,95829,1947
Kenneth,Johnson,398547343,Charlotte,76996,1946
Allison,Ortiz,410307357,New York,88595,1997
Rodney,Daugherty,251398140,Charlotte,33660,1961
Jennifer,Zimmerman,316945736,Seattle,99469,1982
Craig,Walters,371145352,Charlotte,97189,1973
Deborah,Montoya,280146825,New York,13110,1943
Melissa,Duran,527649109,Seattle,38094,1988
Nathan,Carter,433847602,Charlotte,13363,1990
Brandon,Villanueva,513262062,Miami,17352,1990
Michael,Taylor,220597155,New York,16937,1971
Jennifer,Briggs,833070786,New York,35090,1986
Brian,Phelps,878453408,Charlotte,59096,1930
Gary,White,177591097,Seattle,18551,1946
Richard,Parker,671830508,Miami,47981,1991
Adam,Smith,643062241,Seattle,12743,1930
Betty,Munoz,596153483,Charlotte,77932,1984
Anthony,Tyler,496682697,Seattle,11690,2000
William,Mora,628252294,Seattle,68085,1979
Michael,Saunders,463795127,Charlotte,96092,1980
Kirk,Stewart,267894317,Miami,69938,1989
Melanie,Fernandez,778159169,Miami,91402,1952
Dean,Fletcher,165096720,Charlotte,99343,1937
Melissa,Bailey,758590709,Miami,64971,1943
Mark,Dillon,116627714,Los Angeles,13293,2001
Nathan,Wilson,261036652,New York,28291,1990
William,Rodriguez,546993539,Seattle,66999,1969
Christine,Smith,127515427,Miami,70881,1995
Amanda,Ryan,259974144,Miami,81248,1987
Danny,Davis,261098977,Charlotte,29608,1945
Carla,Cain,736807975,New York,14957,1944
William,Cook,336248700,Los Angeles,23394,1931
Jonathan,Moore,537172746,Miami,93033,1951
Sabrina,Tran,173345741,New York,28895,1952
Brenda,Steele,876262734,New York,10694,1983
Amanda,Warren,158651706,Los Angeles,32278,1936
Chad,Knapp,536172492,Charlotte,85075,2003
Steven,Ward,667928473,Seattle,35834,1951
Daniel,Harris,541136447,Charlotte,71431,1982
Debra,Hutchinson,172103002,Charlotte,43986,1978
Juan,Sanchez,363478340,Los Angeles,97977,1951
Michelle,Burton,702191681,Miami,80776,1971
Kathleen,Baker,288741643,Miami,40188,1973
Victoria,Orr,753500788,Los Angeles,81910,1980
Ronald,Allen,890089117,Seattle,84470,1984
Rodney,Lopez,534119111,New York,57979,1979
Angela,Goodwin,184965381,Seattle,66110,1971
Paul,Blevins,539961351,Charlotte,36537,2000
Shirley,Walker,812175399,New York,46990,1952
Mike,Carter,358245494,Los Angeles,96497,1998
Monica,Marshall,872322957,Charlotte,32104,1965
Derek,Fields,608734239,Seattle,38559,1986
Debra,Lambert,225681247,Charlotte,81071,1958
Nicole,Lee,260510257,Charlotte,60739,1978
Jerry,Martin,699165354,Los Angeles,98350,1987
Bryan,Johnson,529697223,Los Angeles,16675,1967
Melissa,Hooper,593814954,Miami,93280,1942
Alison,Davis,774961370,Los Angeles,69862,2002
Sharon,Goodman,119789639,Charlotte,66223,1976
Richard,Collier,663824488,Los Angeles,28795,1949
Benjamin,Jimenez,873575507,Los Angeles,16427,1955
Adam,Terry,925945873,Miami,43534,1953
Ricky,Dunn,197761767,Seattle,42326,1984
Barbara,Wilkerson,487345782,Miami,11508,1976
Katherine,Lambert,784406341,Los Angeles,37244,1977
Joshua,Martin,376232103,New York,65133,1941
Kevin,Anderson,354992170,Charlotte,25540,1983
Robert,Gibson,247590398,Los Angeles,23611,1931
Philip,Collins,673159144,Los Angeles,63765,1932
Chloe,Thornton,117171627,Charlotte,36759,1955
Kayla,Smith,229246188,Los Angeles,68207,2001
Richard,Harris,780405622,New York,35239,1991
Matthew,Anderson,193328858,New York,72736,2005
Jennifer,Wilson,575794223,Miami,18831,1962
Dean,Williams,328874364,Charlotte,22732,1974
Alicia,Gordon,991287577,Charlotte,23596,1959
Brian,Bonilla,106699338,Seattle,25776,1945
Gail,Schwartz,952687668,Los Angeles,73024,1955
Jacqueline,Morgan,542040762,New York,16454,1978
Wendy,Hogan,488492236,Los Angeles,86822,1966
Sean,Morris,488325341,New York,73385,1988
Jennifer,Guerrero,487860179,Charlotte,40819,1950
Jonathon,Cline,486673699,New York,80680,1973
Kristen,Barnes,119798063,Seattle,60313,1955
Charles,Munoz,548709568,Charlotte,70358,1988
Lucas,Smith,462804665,New York,61464,1960
Stephanie,Tyler,139793564,Charlotte,60124,1947
Richard,Bailey,754285601,Seattle,46705,1932
Jose,Guerrero,704789309,Charlotte,11666,1996
Christopher,Williams,280659920,New York,46002,1943
Alex,Price,489864853,Charlotte,27697,1943
Brian,Fowler,313640764,Los Angeles,97906,1942
Alexis,Olson,878684316,New York,47986,1996
Joe,Smith,431317625,Los Angeles,37024,2002
Nicole,Larson,286319287,Miami,53099,1982
Cindy,Adams,494255262,Charlotte,14812,2001
Charles,Wright,730035333,Miami,27160,1954
Patrick,Owens,237519812,Miami,63227,2000
David,Dyer,192647256,Miami,39764,1994
Daniel,Ryan,631221083,Miami,75276,1931
Jill,Cunningham,780529756,Los Angeles,86769,1939
Douglas,Campbell,311407981,Los Angeles,82856,1988
Robert,Moore,157708516,Charlotte,17573,1984
Robyn,Wright,152182507,Miami,41742,1962
James,Vincent,157116380,Miami,23856,1949
Sean,Peterson,141235623,Miami,89374,1940
Andrew,Martin,319125275,Los Angeles,10199,1951
Matthew,Brown,498072205,New York,10365,1951
Whitney,Evans,761528720,New York,32922,1994
Rebecca,Shaffer,491133868,Charlotte,97743,1939
Alison,Beard,242931621,Los Angeles,14929,1997
Gary,Whitehead,417238923,Charlotte,29790,1970
Annette,Payne,791992865,New York,58971,1974
Darryl,Johnson,346439734,Charlotte,50173,2001
Mark,Brown,102782950,New York,16510,1986
Austin,Peters,607289846,Charlotte,69107,1964
Brandon,Harris,544790125,New York,35148,1995
Dennis,Hayden,142044780,Los Angeles,18080,1949
Joanne,Reed,366093336,Los Angeles,24130,1958
Meghan,King,631049322,New York,92696,1987
Kevin,Brown,579378008,Charlotte,40093,1990
Derrick,Ellis,761644223,Seattle,44028,1959
Amanda,Smith,308971495,Seattle,41292,1953
William,Douglas,216560041,Seattle,16240,1980
Sandra,Ortiz,138158105,Los Angeles,73740,1986
Kevin,Thomas,440828949,Seattle,58156,1987
Victoria,Rodgers,169997015,Charlotte,44865,1944
Joshua,May,265060035,Los Angeles,92111,1999
Jerry,Thomas,187198700,Miami,66608,1990
Christopher,Perez,219077962,Seattle,39271,1979
Frank,Fowler,771135200,Miami,52129,1933
Cindy,Harris,147519974,Charlotte,63584,1968
Jessica,Wise,582796144,Seattle,40223,1932
Robert,Boyer,174256124,Los Angeles,14249,1934
Chad,Clark,285654531,Seattle,90190,1989
Destiny,Conrad,618451366,New York,56291,1991
Kevin,Nolan,581343972,Seattle,58248,1965
Jonathan,Haynes,753190248,New York,84674,1933
Travis,Rodriguez,543095497,New York,61123,1930
Monica,Klein,135126625,Charlotte,75437,1977
Valerie,Davis,315174486,Seattle,12067,1937
William,Stewart,658254918,Los Angeles,46335,1950
Doris,Branch,526270408,Seattle,18113,1942
Michelle,Harris,443128610,Seattle,33819,1934
Meghan,Dean,330273476,New York,32830,1976
Jason,Boyle,783077314,Charlotte,69179,1960
Teresa,Newman,396192129,Seattle,79467,1982
Joseph,Flores,425021150,Los Angeles,85048,1959
Brad,Stein,341842141,Charlotte,42565,1956
Rachel,Hall,560195939,New York,34414,1972
Mark,Ritter,693081707,New York,10313,1982
Amanda,Tate,735809390,Charlotte,49242,1964
Brandon,Boone,541675499,New York,55237,1942
Vickie,Chandler,670917619,Seattle,93652,1999
Beth,Howard,266338757,Charlotte,94817,1950
Erika,Nichols,499153221,Los Angeles,24577,1970
Heather,Meyers,468916569,Miami,79596,1947
Christopher,Gray,840141079,New York,89273,1955
Beth,Richardson,733166476,Seattle,94537,1973
Brandon,Russell,485566757,Charlotte,90803,1984
Miguel,Smith,243580635,Miami,51242,1940
Eric,Coleman,863743283,Charlotte,27845,2003
Karl,Long,777254890,Miami,52780,1979
Glenn,Weber,587059398,New York,61794,1948
Brian,Lewis,463254728,Los Angeles,21246,1994
Emily,Thompson,144867002,Miami,50795,1999
Megan,Sanders,756948844,Seattle,75047,1949
Jesus,Gutierrez,652998942,Miami,57390,1946
Amber,Hill,457527095,Seattle,16353,1958
Larry,Hunter,309579359,Los Angeles,63694,1943
Traci,Jones,543295180,Charlotte,16732,1983
Melissa,Mejia,693666122,Seattle,31882,1963
Kristin,Burns,463269597,Seattle,60091,1947
Jimmy,Clark,175360264,Charlotte,61940,1971
Kristen,Cox,667706703,New York,32819,1933
William,Stephenson,710922453,Charlotte,19858,1965
Rebecca,Garcia,714868435,Seattle,81067,1947
Crystal,Jackson,819858616,Charlotte,61894,1962
Nathan,Butler,573102910,Charlotte,15255,1945
Janet,Hansen,506559543,New York,76996,1944
David,Warren,369427094,Seattle,73330,1976
Kelly,Bryant,412964149,Miami,84063,1938
Carol,Miller,350440561,Miami,44421,2000
Jessica,Butler,524580406,Seattle,43052,1944
Michael,Avery,476674534,Seattle,57230,1988
Melissa,Wolfe,763381691,Los Angeles,72384,1980
Brittany,Munoz,619824201,New York,87156,1954
Amy,Jones,139731667,Charlotte,30129,1993
Abigail,Delacruz,807157056,Seattle,47278,1956
Darren,Sullivan,112165157,Miami,78514,2003
Karen,Rivera,898085408,Los Angeles,15065,1938
Lisa,Garza,224884457,New York,19592,1947
Wesley,Lee,127723584,Charlotte,51104,1992
Paige,Thomas,350074276,New York,90279,1950
Corey,Li,145018128,Los Angeles,52708,1983
Daniel,Martinez,136417137,New York,89140,1962
Kimberly,Rasmussen,442465964,Los Angeles,66930,1930
Robert,Lewis,417048599,Seattle,61004,1992
James,Hickman,133926268,Miami,97073,1963
Patricia,Thornton,131704370,Seattle,55883,2004
Stacey,Goodman,133349146,Los Angeles,25167,1955
Joseph,Guerra,128035842,Miami,70312,1946
Lori,Esparza,364455123,Seattle,93092,1976
Matthew,Jones,672273984,Charlotte,31225,1940
Keith,Pierce,575833025,Miami,71675,1938
William,Wilson,762845322,Charlotte,51505,1982
James,Sherman,195023154,New York,45255,1950
David,Perkins,234718611,Charlotte,87670,1933
Deanna,Davis,791424649,Los Angeles,74182,1950
Stephen,Perez,262718313,Miami,34023,1985
Kevin,Davis,793402555,Miami,17498,1986
Michele,Massey,601696654,Miami,96678,2000
Anthony,Miranda,317554893,Miami,88651,1942
Robert,Rose,475146271,Seattle,27356,1985
Morgan,Garcia,644355153,Los Angeles,39040,1957
Zachary,Ford,104185447,Los Angeles,12223,1992
Stacy,Morgan,229566644,New York,98526,1984
Katherine,Cooper,177723119,Los Angeles,29741,1963
Catherine,Bryant,791372114,Seattle,58869,1969
Matthew,Lopez,348722298,Charlotte,57625,1960
Jennifer,Wall,774901573,Miami,70040,1995
James,Wilson,395099829,New York,49152,1933
Carla,Noble,691750474,Miami,65163,1934
David,Lyons,231156350,Miami,20005,1953
James,Wright,775702651,Miami,53362,1977
Misty,Smith,600730556,Los Angeles,59269,1931
Amanda,Wilcox,642461756,New York,62122,1955
Christopher,Nunez,730084106,Charlotte,89918,1975
Matthew,Jackson,236819834,Seattle,32997,2003
Sean,Hickman,517538587,Seattle,79675,1976
Russell,Jackson,318873812,Seattle,25678,1990
Adam,Villanueva,410770096,Los Angeles,84834,1947
Anne,Garcia,301545603,Charlotte,27053,2000
Kimberly,Hester,122152656,Seattle,95846,1955
Kimberly,Jackson,615596672,Charlotte,17850,1947
Lisa,Thompson,248334867,Charlotte,10252,1969
David,Christensen,223908639,Los Angeles,68434,1963
Rita,Parker,383036266,Los Angeles,20080,1937
William,Bradshaw,590043304,Miami,52016,1950
Jermaine,Harris,519733085,Charlotte,59843,1935
Melissa,Harvey,762256798,Seattle,20230,1972
Diana,Mccormick,838456328,Charlotte,45319,1974
Chloe,Pena,557183574,Los Angeles,18831,1946
Rachel,Farrell,306101923,New York,22425,1972
Christina,Powell,728685324,Miami,13967,1948
Samantha,Roberts,520080181,New York,55433,2001
Peter,Levine,796947151,Seattle,77068,1989
Dustin,Fuller,412766380,Charlotte,61077,1989
Bridget,Mann,357413326,Miami,81393,2000
Billy,Giles,205963221,Miami,48724,1967
Crystal,Mueller,441029630,Miami,88216,2002
Carolyn,Moran,882993785,Los Angeles,21354,1998
Angela,Ortega,294052004,Los Angeles,84897,1945
Susan,Hanna,541407730,Seattle,34970,1982
Cameron,Hoffman,761329171,Miami,16164,2000
Shawn,Carrillo,159891268,Miami,14615,1975
Janice,Adams,125187748,Los Angeles,71255,1943
Amy,Ward,527037918,Charlotte,65580,1977
Betty,Harris,760820224,Miami,37422,1930
Lisa,Chavez,648943748,Seattle,34305,1950
Kylie,Richard,249901680,Seattle,19692,1983
Seth,Villegas,138273282,Charlotte,62625,1966
Whitney,Johnson,821415781,Seattle,35228,1991
Jennifer,Perez,946325419,New York,94099,1977
Kaitlyn,Stout,304533991,Charlotte,44901,1950
Tristan,Gibson,300352641,Seattle,95724,1955
Joshua,Kennedy,479534338,Los Angeles,90075,1942
Natalie,Jones,211310230,Seattle,22258,1982
Leslie,Anderson,147493013,New York,88449,1931
Eric,Hodges,165037244,Seattle,38480,1941
Beth,Floyd,804032968,Seattle,50145,1958
Donna,Thomas,739583637,Miami,77622,1992
Mark,Hunter,288462124,Miami,76235,2002
Luis,Hodge,771805682,Charlotte,36838,1967
Sheila,Thomas,670960223,New York,46846,1964
Marcus,Fuller,363085444,Seattle,73364,1962
Alison,Clarke,616519299,Charlotte,50594,1933
Kathryn,King,504372265,Miami,65506,1987
Meghan,Greer,805656204,Seattle,59618,1987
David,Bishop,711127607,Charlotte,45132,1980
Douglas,Pacheco,375019476,Los Angeles,89819,1992
Tiffany,Hines,570130319,Seattle,95645,1935
Paul,Gregory,462707317,Charlotte,34595,1956
Amanda,Villegas,365585894,Seattle,55604,1989
Cesar,Duffy,620047736,Seattle,52770,1996
Tracy,Silva,599446543,Miami,42965,1974
David,Rosario,253936990,Seattle,71705,1945
Crystal,Summers,289541746,Seattle,95049,1943
Kayla,Lawson,575975752,Los Angeles,86647,1936
Rachel,Potter,488682829,Los Angeles,12479,1952
John,Ewing,188919057,Seattle,96651,1941
Darlene,Garrett,877457534,Los Angeles,69812,1954
Jennifer,Snyder,357302453,Charlotte,69085,1964
Michael,Fox,632221848,New York,57631,2002
